timestamp	branch	slug	SF	median_s	verified	outcome
2026-04-15T07:47:05Z	exp/prefetch-sweep	prefetch-validate-p256	sf100	8.405	true	ok
2026-04-15T08:04:58Z	exp/prefetch-sweep	prefetch-validate-p512	sf100	8.306	true	ok
2026-04-15T08:16:27Z	exp/prefetch-sweep	threads-sweep-t8	sf100	14.850	true	ok
2026-04-15T08:27:14Z	exp/prefetch-sweep	threads-sweep-t16	sf100	9.671	true	ok
2026-04-15T08:38:01Z	exp/prefetch-sweep	threads-sweep-t24	sf100	9.319	true	ok
2026-04-15T08:48:44Z	exp/prefetch-sweep	threads-sweep-t32	sf100	8.612	true	ok
2026-04-15T08:59:28Z	exp/prefetch-sweep	threads-sweep-t48	sf100	8.348	true	ok
2026-04-15T09:10:10Z	exp/prefetch-sweep	threads-sweep-t64	sf100	8.387	true	ok
2026-04-15T12:29:38Z	exp/entropy-selection	gensort-30gb	gensort_30gb	3.873	true	ok
2026-04-15T12:29:38Z	exp/entropy-selection	gensort-30gb	gensort_30gb	4.056	true	ok
2026-04-15T12:29:38Z	exp/entropy-selection	gensort-30gb	gensort_30gb	4.304	true	ok
2026-04-15T17:46:05Z	exp/native-gpu-32b-ovc	native-32b-ovc	sf50	13.318	true	regression
2026-04-15T17:46:05Z	exp/native-gpu-32b-ovc	native-32b-ovc	sf100	7.906	true	unchanged
2026-04-15T19:48:00Z	exp/fixup-fast-comparator	fixup-parallel-group-detect	sf50	6.562	true	win_sf50_beats_sf100
2026-04-15T19:48:00Z	exp/fixup-fast-comparator	fixup-parallel-group-detect	sf100	7.821	true	unchanged
2026-04-15T20:30:00Z	exp/fixup-fast-comparator	fixup-8b-key-sort	sf50	6213	true	win_~350ms_over_parallel_group_detect
2026-04-15T20:30:00Z	exp/fixup-fast-comparator	fixup-8b-key-sort	sf100	7821	true	unchanged
