scale,gb,records,config,run,wall_ms,merge_ms,total_ms,gb_per_s,h2d_gb,d2h_gb,pcie_gb,note
SF50,36.00,300005811,baseline,best_warm,1725.72,1151.32,2877.04,12.51,19.80,1.20,21.00,from 0.2 baseline
SF50,36.00,300005811,post_0.3.1_run1_cold,1,17655.96,1373.54,19030.50,1.89,9.60,1.20,10.80,
SF50,36.00,300005811,post_0.3.1_run2_warm,2,748.31,3181.91,3930.22,9.16,9.60,1.20,10.80,
SF50,36.00,300005811,post_0.3.1_run3_warm,3,763.44,983.05,1746.49,20.61,9.60,1.20,10.80,
SF50,36.00,300005811,post_0.3.1_run4_warm,4,854.59,820.65,1675.24,21.49,9.60,1.20,10.80,
SF50,36.00,300005811,post_0.3.1_best_warm,5,723.92,783.17,1507.08,23.89,9.60,1.20,10.80,← warm best
SF100,72.00,600037902,baseline,best_warm,2858.87,1642.46,4501.33,16.00,39.60,2.40,42.00,from 0.3 baseline
SF100,72.00,600037902,post_0.3.1_run1_cold,1,29785.02,3305.10,33090.11,2.18,19.20,2.40,21.60,
SF100,72.00,600037902,post_0.3.1_run2_warm,2,1598.04,1795.91,3393.95,21.22,19.20,2.40,21.60,
SF100,72.00,600037902,post_0.3.1_run3_warm,3,1476.14,1764.07,3240.21,22.22,19.20,2.40,21.60,
SF100,72.00,600037902,post_0.3.1_best_warm,4,1438.15,1586.05,3024.19,23.81,19.20,2.40,21.60,← warm best
SF100,72.00,600037902,post_0.3.1_run5_warm,5,1447.55,1694.27,3141.83,22.92,19.20,2.40,21.60,
