gpu,run,gb,records,wall_ms,merge_ms,total_ms,gb_per_s,note
0,1_cold,72.00,600037902,3188.30,18125.65,21313.95,3.38,4 procs reading SF100 cold from NVMe simultaneously
0,2_warm,72.00,600037902,2832.02,1862.14,4694.17,15.34,
0,3_warm,72.00,600037902,3067.33,2793.36,5860.69,12.29,
1,1_cold,72.00,600037902,2792.17,18355.72,21147.89,3.40,
1,2_warm,72.00,600037902,2861.78,1642.07,4503.84,15.99,
1,3_warm,72.00,600037902,2825.57,2064.68,4890.25,14.72,
2,1_cold,72.00,600037902,2785.99,20082.78,22868.76,3.15,
2,2_warm,72.00,600037902,2862.95,1799.86,4662.81,15.44,
2,3_warm,72.00,600037902,2966.82,1959.94,4926.76,14.62,
3,1_cold,72.00,600037902,2790.90,2524.01,5314.90,13.55,
3,2_warm,72.00,600037902,3125.64,6256.57,9382.21,7.67,
3,3_warm,72.00,600037902,2837.75,1662.07,4499.82,16.00,
