gpu,offset_records,limit_records,gb,run,wall_ms,merge_ms,total_ms,gb_per_s,note
0,0,750007060,90.00,1,4006.67,3549.06,7555.73,11.91,
0,0,750007060,90.00,2,3447.33,4114.96,7562.29,11.90,
1,750007060,750007060,90.00,1_cold,3633.25,41091.62,44724.87,2.01,4 procs reading 360 GB cold from NVMe
1,750007060,750007060,90.00,2_warm,3473.43,3688.36,7161.79,12.57,
1,750007060,750007060,90.00,3_warm,3376.40,2276.27,5652.67,15.92,← warm best (single chunk)
2,1500014120,750007060,90.00,1_cold,4261.33,25480.07,29741.40,3.03,
2,1500014120,750007060,90.00,2_warm,3379.89,4728.51,8108.40,11.10,
2,1500014120,750007060,90.00,3_warm,3418.51,2919.51,6338.02,14.20,
3,2250021180,750007062,90.00,1,3372.01,2294.16,5666.17,15.88,← warm best (single chunk)
3,2250021180,750007062,90.00,2,3514.48,15056.67,18571.15,4.85,
3,2250021180,750007062,90.00,3,3387.06,3384.68,6771.74,13.29,
